               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068999,            0.028189,             0.10578,            0.014366,             0.51645,             0.01981,           0.0086742,            0.034699,           0.0096665,            0.077975,            0.070167,           0.0033148,           0.0033148
                   1,            0.043315,            0.020268,              0.1007,            0.020673,             0.67727,             0.03604,            0.015917,            0.034021,           0.0076648,            0.078998,            0.040047,           0.0065285,           0.0065285
                   2,            0.039357,            0.017967,            0.096725,            0.022599,             0.68887,            0.047394,             0.02438,            0.027787,            0.008278,            0.079496,           0.0098073,           0.0096221,           0.0096221
                   3,            0.037846,            0.017437,            0.095917,            0.022214,             0.65707,            0.038171,            0.021679,            0.028681,           0.0090935,            0.081718,             0.00946,             0.00946,             0.00946
                   4,            0.037894,            0.016781,            0.095003,            0.023855,             0.68208,            0.043593,            0.025934,            0.025731,           0.0086244,             0.08244,             0.00946,             0.00946,             0.00946
                   5,            0.033434,            0.016561,            0.090868,            0.021271,              0.6684,            0.051558,            0.029298,            0.030737,             0.00757,            0.083288,             0.00928,             0.00928,             0.00928
                   6,            0.032007,            0.016327,            0.089616,            0.025516,              0.6723,            0.052915,            0.032961,            0.026014,           0.0090035,            0.083843,              0.0091,              0.0091,              0.0091
                   7,            0.031522,            0.015256,            0.086504,            0.025225,             0.69984,             0.05309,            0.033641,            0.024357,           0.0083437,            0.084043,             0.00892,             0.00892,             0.00892
                   8,            0.031865,            0.015598,            0.083799,            0.024854,             0.69052,            0.072467,            0.046993,            0.026697,           0.0089245,            0.086186,             0.00874,             0.00874,             0.00874
                   9,            0.029971,            0.015474,            0.078381,            0.025181,             0.67829,            0.075247,            0.048709,             0.02729,           0.0079362,            0.084944,             0.00856,             0.00856,             0.00856
                  10,            0.030655,            0.014877,             0.07556,             0.97752,            0.037035,            0.099862,            0.064955,            0.029162,           0.0081292,             0.08655,             0.00838,             0.00838,             0.00838
                  11,            0.031022,             0.01555,             0.07128,             0.89948,             0.11837,              0.1053,            0.071815,            0.025463,           0.0080502,             0.08817,              0.0082,              0.0082,              0.0082
                  12,             0.03037,            0.014823,             0.06713,             0.96369,            0.073424,             0.11098,            0.075836,            0.023268,           0.0083343,            0.086924,             0.00802,             0.00802,             0.00802
                  13,            0.030958,            0.014698,            0.067892,             0.96524,             0.06138,              0.1557,             0.11113,            0.025439,           0.0077532,            0.085161,             0.00784,             0.00784,             0.00784
                  14,             0.03137,            0.014926,            0.063691,             0.94226,            0.062077,             0.14427,            0.084603,            0.025785,           0.0083512,            0.087655,             0.00766,             0.00766,             0.00766
                  15,            0.030266,            0.014792,             0.06186,             0.79602,             0.19742,              0.1556,             0.10754,            0.027949,           0.0079469,            0.086604,             0.00748,             0.00748,             0.00748
                  16,            0.029294,            0.014616,            0.056806,             0.86079,             0.14813,             0.17077,             0.12423,            0.026982,           0.0085128,            0.085052,              0.0073,              0.0073,              0.0073
                  17,              0.0307,            0.014041,             0.05554,             0.79164,             0.23097,             0.14689,             0.10834,            0.026745,           0.0082511,            0.085299,             0.00712,             0.00712,             0.00712
                  18,             0.02945,            0.014309,            0.053572,             0.76454,             0.19635,             0.14544,            0.098505,            0.024535,           0.0083953,            0.086904,             0.00694,             0.00694,             0.00694
                  19,            0.029764,            0.014335,            0.050943,              0.9644,            0.074512,             0.13903,            0.091536,            0.026395,           0.0077374,             0.08698,             0.00676,             0.00676,             0.00676
                  20,            0.030808,            0.014318,             0.04894,             0.74491,             0.28589,             0.16607,              0.1164,            0.025605,           0.0086143,            0.088309,             0.00658,             0.00658,             0.00658
                  21,            0.030586,            0.013934,            0.048265,             0.83401,             0.19236,             0.19773,             0.14945,             0.02661,           0.0087907,            0.086467,              0.0064,              0.0064,              0.0064
                  22,            0.030705,            0.014037,            0.047747,             0.81783,             0.19055,             0.19457,             0.14244,            0.025673,           0.0090242,            0.086342,             0.00622,             0.00622,             0.00622
                  23,            0.031068,             0.01422,            0.045071,             0.76445,             0.22978,             0.21175,             0.15697,            0.024726,           0.0086208,            0.087612,             0.00604,             0.00604,             0.00604
                  24,            0.029179,            0.013532,            0.042592,             0.76233,             0.30031,             0.16675,             0.11989,            0.025371,           0.0084372,            0.087637,             0.00586,             0.00586,             0.00586
                  25,            0.029172,            0.013658,            0.041115,             0.83692,             0.21245,             0.20281,             0.15895,            0.026878,           0.0086666,            0.088143,             0.00568,             0.00568,             0.00568
                  26,            0.029918,            0.013225,            0.040699,             0.77517,             0.27006,             0.19196,             0.15031,            0.025942,           0.0092031,            0.089667,              0.0055,              0.0055,              0.0055
                  27,            0.028464,            0.013371,            0.040788,             0.76417,             0.25163,             0.16276,             0.12309,            0.024623,            0.008556,            0.089848,             0.00532,             0.00532,             0.00532
                  28,            0.029028,            0.013682,            0.037018,             0.76899,             0.25706,             0.22946,             0.17301,            0.023446,           0.0096162,            0.089295,             0.00514,             0.00514,             0.00514
                  29,            0.028668,            0.013496,            0.038405,             0.82642,             0.25281,             0.20339,             0.15545,            0.023644,           0.0092656,            0.090946,             0.00496,             0.00496,             0.00496
                  30,            0.028197,            0.013181,            0.035202,             0.84154,             0.22705,             0.20731,             0.15153,            0.024448,           0.0091023,            0.088697,             0.00478,             0.00478,             0.00478
                  31,            0.027745,              0.0131,            0.034408,              0.8067,             0.25359,             0.24538,              0.1797,             0.02326,           0.0094171,              0.0885,              0.0046,              0.0046,              0.0046
                  32,            0.027711,            0.013338,            0.032672,             0.79679,              0.2621,             0.22661,             0.17919,            0.024679,           0.0090397,            0.089606,             0.00442,             0.00442,             0.00442
                  33,            0.027679,             0.01293,            0.032473,             0.80036,             0.27422,             0.21623,             0.17128,            0.023801,           0.0090404,            0.088906,             0.00424,             0.00424,             0.00424
                  34,             0.02726,            0.013037,            0.031356,              0.7939,              0.2796,             0.22991,             0.18159,            0.024731,           0.0097752,            0.089654,             0.00406,             0.00406,             0.00406
                  35,            0.026152,            0.012925,            0.029811,             0.79896,             0.25892,             0.24791,              0.1978,            0.024521,           0.0096198,             0.09064,             0.00388,             0.00388,             0.00388
                  36,            0.026346,            0.012778,            0.028641,             0.81314,             0.26377,             0.22709,              0.1801,            0.024756,           0.0089448,            0.090819,              0.0037,              0.0037,              0.0037
                  37,            0.026236,            0.012673,            0.028887,             0.81687,             0.27492,             0.22459,             0.17848,            0.024135,           0.0096103,            0.088868,             0.00352,             0.00352,             0.00352
                  38,            0.024984,            0.012533,            0.029001,             0.79567,             0.29762,             0.23062,              0.1791,            0.024602,            0.009182,            0.093368,             0.00334,             0.00334,             0.00334
                  39,             0.02593,            0.012412,            0.027333,             0.83939,             0.24746,              0.2246,             0.18128,            0.025785,           0.0093201,            0.091979,             0.00316,             0.00316,             0.00316
                  40,            0.025067,            0.012161,            0.026122,             0.83439,             0.28977,             0.23315,              0.1835,            0.024612,           0.0098865,            0.089414,             0.00298,             0.00298,             0.00298
                  41,            0.025219,            0.012299,            0.025965,              0.8505,             0.26612,             0.25887,              0.2092,             0.02368,           0.0098834,            0.091165,              0.0028,              0.0028,              0.0028
                  42,            0.024278,            0.012329,            0.023109,             0.83593,              0.2655,             0.24666,             0.19984,            0.024044,           0.0094282,            0.092247,             0.00262,             0.00262,             0.00262
                  43,            0.025265,            0.012288,            0.025478,             0.83005,             0.27637,             0.22518,              0.1815,            0.023372,            0.010615,            0.090625,             0.00244,             0.00244,             0.00244
                  44,            0.023741,            0.012175,            0.023566,             0.84212,             0.27332,              0.2289,             0.19019,             0.02297,            0.010068,            0.091529,             0.00226,             0.00226,             0.00226
                  45,            0.022718,            0.011572,            0.022954,             0.82179,             0.28982,             0.24094,              0.2049,            0.023685,            0.010185,            0.092352,             0.00208,             0.00208,             0.00208
                  46,            0.023209,            0.011704,            0.021935,             0.83644,             0.27153,             0.26442,             0.21854,            0.023401,            0.010346,            0.094198,              0.0019,              0.0019,              0.0019
                  47,            0.022473,            0.011972,             0.02129,             0.83774,             0.27525,             0.26653,             0.22259,            0.023845,            0.010798,            0.091186,             0.00172,             0.00172,             0.00172
                  48,            0.022363,             0.01206,            0.021533,             0.82504,             0.28677,             0.26379,             0.22061,            0.023648,            0.010178,            0.092857,             0.00154,             0.00154,             0.00154
                  49,            0.021223,            0.011375,            0.018981,             0.82305,             0.27032,             0.25781,             0.21646,            0.023768,            0.010222,            0.090835,             0.00136,             0.00136,             0.00136
